"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录功能","1","0","用正确的邮箱和正确的密码登录","0"
"0","","0","登录功能","1","0","登录失败提示","0"
